date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150720],[ 8.19999981],[ 8.19999981],[ 8.06000042],[ 8.18000031],[ 3397844.],[4179500],[ 8.88000011],[ 8.93000031],[ 8.80000019],[ 8.86999989],[ 5614455.],[6336550],[ 7.40999985],[ 7.48000002],[ 7.19999981],[ 7.46000004],[ 3264686.],[4427000]
[20150721],[ 8.18000031],[ 8.27999973],[ 7.92000008],[ 8.14999962],[ 2479086.],[3054952],[ 8.86999989],[ 8.90999985],[ 8.81999969],[ 8.85999966],[ 5218170.],[5881981],[ 7.01000023],[ 7.5],[ 6.9000001],[ 7.32999992],[ 1935074.],[2639577]
[20150722],[ 8.14000034],[ 8.14000034],[ 7.94000006],[ 8.02000046],[ 2645350.],[3300752],[ 8.88000011],[ 8.88000011],[ 8.68000031],[ 8.68000031],[ 3812455.],[4359781],[ 7.30000019],[ 7.36999989],[ 7.01000023],[ 7.32999992],[ 1430594.],[1974500]
[20150723],[ 8.02000046],[ 8.15999985],[ 7.90999985],[ 8.14000034],[ 7262546.],[8965204],[ 8.67000008],[ 8.71000004],[ 8.56000042],[ 8.56999969],[ 4997460.],[5781650],[ 7.30000019],[ 7.75],[ 7.30000019],[ 7.71999979],[ 6283781.],[8384727]
[20150724],[ 8.15999985],[ 8.23999977],[ 8.01000023],[ 8.06000042],[ 3957592.],[4868500],[ 8.52000046],[ 8.61999989],[ 8.48999977],[ 8.61999989],[ 3141307.],[3668250],[ 7.78999996],[ 7.86000013],[ 7.40999985],[ 7.42999983],[ 5077047.],[6575391]
[20150727],[ 8.10000038],[ 8.10000038],[ 7.40999985],[ 7.48000002],[ 1410575.],[1806226],[ 8.61999989],[ 8.94999981],[ 8.51000023],[ 8.93999958],[ 3091032.],[3565308],[ 7.05999994],[ 7.48000002],[ 6.69000006],[ 6.69000006],[ 1999641.],[2866950]
[20150728],[ 7.30999994],[ 7.59000015],[ 7.30999994],[ 7.5],[ 1025115.],[1368725],[ 8.93000031],[ 8.93999958],[ 8.72999954],[ 8.90999985],[ 5991305.],[6730050],[ 6.0999999],[ 6.65999985],[ 6.01999998],[ 6.01999998],[ 2186976.],[3585500]
[20150729],[ 7.5],[ 7.5999999],[ 7.],[ 7.5],[ 1248800.],[1677399],[ 8.77000046],[ 9.19999981],[ 8.77000046],[ 8.93000031],[ 5727524.],[6332993],[ 6.],[ 6.19999981],[ 5.69999981],[ 6.05999994],[ 1974571.],[3350300]
[20150730],[ 7.23999977],[ 7.48999977],[ 7.23999977],[ 7.42999983],[ 347075.],[467814],[ 8.86999989],[ 9.01000023],[ 8.86999989],[ 8.97000027],[ 645197.],[723500],[ 6.05999994],[ 6.05999994],[ 5.63000011],[ 5.69999981],[ 1415318.],[2398300]
[20150731],[ 7.42999983],[ 7.42999983],[ 7.03999996],[ 7.0999999],[ 618554.],[857100],[ 8.98999977],[ 9.27000046],[ 8.97000027],[ 9.27000046],[ 2819442.],[3088400],[ 5.67999983],[ 5.67999983],[ 5.13000011],[ 5.19000006],[ 2003634.],[3785212]
